	Article	Match
0	Cat	english, typically the one it was created in when, as here, the topic has no strong national ties. this article was created with american english.--> {{speciesbox | taxon = felis catus | name = domestic cat
1	Cat	english, typically the one it was created in when, as here, the topic has no strong national ties. this article was created with american english.--> {{speciesbox | taxon = felis cat
2	Cat	english.--> {{speciesbox | taxon = felis catus | name = domestic cat
3	Cat	english.--> {{speciesbox | taxon = felis cat
4	Cat	english language |edition= yahoo.com online |publisher= houghton mifflin |location=boston |year=2010 |accessdate=6 october 2010 |deadurl=yes |archiveurl= https://web.archive.org/web/20110718134211/http://educat
5	Cat	english language |edition= yahoo.com online |publisher= houghton mifflin |locat
6	Cat	english word '[[:wikt:cat#english|cat]]' ([[old english]] ''catt'') is in origin a [[loanword]], introduced to many [[languages of europe]] from latin ''cat
7	Cat	english word '[[:wikt:cat#english|cat]]' ([[old english]] ''cat
8	Cat	english word '[[:wikt:cat#english|cat
9	Cat	english word '[[:wikt:cat
10	Cat	english|cat]]' ([[old english]] ''catt'') is in origin a [[loanword]], introduced to many [[languages of europe]] from latin ''cat
11	Cat	english|cat]]' ([[old english]] ''cat
12	Cat	english|cat
13	Cat	english]] ''catt'') is in origin a [[loanword]], introduced to many [[languages of europe]] from latin ''cat
14	Cat	english]] ''cat
15	Cat	english words and their background|publisher=d. appleton and company {{subscription required |via=[[questia]]}} |locat
16	Cat	english '[[:wikt:puss#english|puss]]' ('pussycat
17	Cat	english|puss]]' ('pussycat
18	Cat	english language''. new york: gramercy books, 1996, p. 1571.</ref> a group of cat
19	Cat	"english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> and a juvenile cat is referred to as a ""[[kitten]]"". the male progenitor of a cat, especially a pedigreed cat"
20	Cat	"english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> and a juvenile cat is referred to as a ""[[kitten]]"". the male progenitor of a cat"
21	Cat	english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> and a juvenile cat
22	Cat	english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> in [[early modern english]], the word 'kitten' was interchangeable with the now-obsolete word 'cat
23	Cat	english]], the word 'kitten' was interchangeable with the now-obsolete word 'catling'.<ref>{{cite web|url=http://www.oed.com/view/entry/28995?redirectedfrom=catling#eid|title=cat
24	Cat	english]], the word 'kitten' was interchangeable with the now-obsolete word 'catling'.<ref>{{cite web|url=http://www.oed.com/view/entry/28995?redirectedfrom=cat
25	Cat	english]], the word 'kitten' was interchangeable with the now-obsolete word 'cat
26	Cat	english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> a [[pedigree (cat)|pedigreed cat]] is one whose ancestry is recorded by a [[cat fancy|cat
27	Cat	english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> a [[pedigree (cat)|pedigreed cat]] is one whose ancestry is recorded by a [[cat
28	Cat	english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> a [[pedigree (cat)|pedigreed cat
29	Cat	english dictionary|publisher=oxford university press|accessdate=1 october 2012}}</ref> a [[pedigree (cat
30	Cat	english|british]]), or (using terms borrowed from [[dog breeds|dog breeding]]) mongrels or mutt-cats. while the [[african wildcat]] is the ancestral subspecies from which domestic cat
31	Cat	english|british]]), or (using terms borrowed from [[dog breeds|dog breeding]]) mongrels or mutt-cats. while the [[african wildcat
32	Cat	english|british]]), or (using terms borrowed from [[dog breeds|dog breeding]]) mongrels or mutt-cat
33	Cat	english.pravda.ru/society/family/09-01-2006/9478-cats-0/|publisher=pravda.ru|accessdate=3 october 2014}}</ref><ref>{{cite news|title=study traces cat
34	Cat	english.pravda.ru/society/family/09-01-2006/9478-cat
35	Cat	english tabby cat.jpg|thumb|right|a 19th century drawing of a tabby cat]] traditionally, historians tended to think [[ancient egypt]] was the site of cat domesticat
36	Cat	english tabby cat.jpg|thumb|right|a 19th century drawing of a tabby cat]] traditionally, historians tended to think [[ancient egypt]] was the site of cat
37	Cat	english tabby cat.jpg|thumb|right|a 19th century drawing of a tabby cat
38	Cat	english tabby cat
